# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:21.495Z	KEEPER_MISSING	21	G:\Poze\IMG-20161001-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20161001-WA0001.jpg	-
2026-04-28T23:49:21.502Z	MOVE	21	G:\Poze\1000013520.jpg	G:\Poze\.duplicates\1000013520.jpg	-
2026-04-28T23:49:21.509Z	KEEPER_MISSING	22	G:\Poze\IMG-20160930-WA0005.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160930-WA0005.jpg	-
2026-04-28T23:49:21.516Z	MOVE	22	G:\Poze\1000013874.jpg	G:\Poze\.duplicates\1000013874.jpg	-
2026-04-28T23:49:21.522Z	KEEPER_MISSING	23	G:\Poze\IMG-20160930-WA0003.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160930-WA0003.jpg	-
2026-04-28T23:49:21.530Z	MOVE	23	G:\Poze\1000014470.jpg	G:\Poze\.duplicates\1000014470.jpg	-
2026-04-28T23:49:21.536Z	KEEPER_MISSING	24	G:\Poze\IMG-20160930-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160930-WA0002.jpg	-
2026-04-28T23:49:21.544Z	MOVE	24	G:\Poze\1000014124.jpg	G:\Poze\.duplicates\1000014124.jpg	-
2026-04-28T23:49:21.551Z	KEEPER_MISSING	25	G:\Poze\IMG-20160930-WA0001.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160930-WA0001.jpg	-
2026-04-28T23:49:21.559Z	MOVE	25	G:\Poze\1000013603.jpg	G:\Poze\.duplicates\1000013603.jpg	-
2026-04-28T23:49:21.565Z	KEEPER_MISSING	26	G:\Poze\IMG-20160930-WA0000.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160930-WA0000.jpg	-
2026-04-28T23:49:21.573Z	MOVE	26	G:\Poze\1000014813.jpg	G:\Poze\.duplicates\1000014813.jpg	-
2026-04-28T23:49:21.579Z	KEEPER_MISSING	27	G:\Poze\IMG-20160929-WA0002.jpg	G:\Poze\WhatsApp-by-year\2016\IMG-20160929-WA0002.jpg	-
2026-04-28T23:49:21.587Z	MOVE	27	G:\Poze\1000014501.jpg	G:\Poze\.duplicates\1000014501.jpg	-
