# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:05.944Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002624_2.jpg	G:\Poze\.review-for-delete\1000002624_2.jpg	-
2026-04-29T00:01:05.949Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002626_2.jpg	G:\Poze\.review-for-delete\1000002626_2.jpg	-
2026-04-29T00:01:05.955Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002629_2.jpg	G:\Poze\.review-for-delete\1000002629_2.jpg	-
2026-04-29T00:01:05.960Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002632_2.jpg	G:\Poze\.review-for-delete\1000002632_2.jpg	-
2026-04-29T00:01:05.965Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002633_2.jpg	G:\Poze\.review-for-delete\1000002633_2.jpg	-
2026-04-29T00:01:05.971Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002638_2.jpg	G:\Poze\.review-for-delete\1000002638_2.jpg	-
2026-04-29T00:01:05.975Z	SKIP	pattern:fb-photo-id	G:\Poze\1000002640_2.jpg	-	source-missing
2026-04-29T00:01:05.981Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002641_2.jpg	G:\Poze\.review-for-delete\1000002641_2.jpg	-
2026-04-29T00:01:05.986Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002643_2.jpg	G:\Poze\.review-for-delete\1000002643_2.jpg	-
2026-04-29T00:01:05.991Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002644_2.jpg	G:\Poze\.review-for-delete\1000002644_2.jpg	-
2026-04-29T00:01:05.996Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002645_2.jpg	G:\Poze\.review-for-delete\1000002645_2.jpg	-
2026-04-29T00:01:06.002Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002649_2.jpg	G:\Poze\.review-for-delete\1000002649_2.jpg	-
2026-04-29T00:01:06.008Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002651_2.jpg	G:\Poze\.review-for-delete\1000002651_2.jpg	-
2026-04-29T00:01:06.013Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002653_2.jpg	G:\Poze\.review-for-delete\1000002653_2.jpg	-
2026-04-29T00:01:06.018Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002655_2.jpg	G:\Poze\.review-for-delete\1000002655_2.jpg	-
2026-04-29T00:01:06.023Z	SKIP	pattern:fb-photo-id	G:\Poze\1000002659_2.jpg	-	source-missing
2026-04-29T00:01:06.027Z	SKIP	pattern:fb-photo-id	G:\Poze\1000002662_2.jpg	-	source-missing
2026-04-29T00:01:06.032Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002664_2.jpg	G:\Poze\.review-for-delete\1000002664_2.jpg	-
2026-04-29T00:01:06.037Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002665_2.jpg	G:\Poze\.review-for-delete\1000002665_2.jpg	-
2026-04-29T00:01:06.042Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002666_2.jpg	G:\Poze\.review-for-delete\1000002666_2.jpg	-
2026-04-29T00:01:06.048Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002673_2.jpg	G:\Poze\.review-for-delete\1000002673_2.jpg	-
2026-04-29T00:01:06.053Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002674_2.jpg	G:\Poze\.review-for-delete\1000002674_2.jpg	-
2026-04-29T00:01:06.059Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002676_2.jpg	G:\Poze\.review-for-delete\1000002676_2.jpg	-
2026-04-29T00:01:06.064Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002677_2.jpg	G:\Poze\.review-for-delete\1000002677_2.jpg	-
2026-04-29T00:01:06.070Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002679_2.jpg	G:\Poze\.review-for-delete\1000002679_2.jpg	-
2026-04-29T00:01:06.075Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002729_2.jpg	G:\Poze\.review-for-delete\1000002729_2.jpg	-
2026-04-29T00:01:06.081Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002733_2.jpg	G:\Poze\.review-for-delete\1000002733_2.jpg	-
2026-04-29T00:01:06.086Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002734_2.jpg	G:\Poze\.review-for-delete\1000002734_2.jpg	-
2026-04-29T00:01:06.091Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002735_2.jpg	G:\Poze\.review-for-delete\1000002735_2.jpg	-
2026-04-29T00:01:06.097Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002738_2.jpg	G:\Poze\.review-for-delete\1000002738_2.jpg	-
2026-04-29T00:01:06.102Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002740_2.jpg	G:\Poze\.review-for-delete\1000002740_2.jpg	-
2026-04-29T00:01:06.108Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002744_2.jpg	G:\Poze\.review-for-delete\1000002744_2.jpg	-
2026-04-29T00:01:06.113Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002746_2.jpg	G:\Poze\.review-for-delete\1000002746_2.jpg	-
2026-04-29T00:01:06.119Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002747_2.jpg	G:\Poze\.review-for-delete\1000002747_2.jpg	-
2026-04-29T00:01:06.124Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002751_2.jpg	G:\Poze\.review-for-delete\1000002751_2.jpg	-
2026-04-29T00:01:06.130Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002754_2.jpg	G:\Poze\.review-for-delete\1000002754_2.jpg	-
2026-04-29T00:01:06.134Z	SKIP	pattern:fb-photo-id	G:\Poze\1000002758_2.jpg	-	source-missing
2026-04-29T00:01:06.140Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002760_2.jpg	G:\Poze\.review-for-delete\1000002760_2.jpg	-
2026-04-29T00:01:06.145Z	MOVE	pattern:fb-photo-id	G:\Poze\1000002761_2.jpg	G:\Poze\.review-for-delete\1000002761_2.jpg	-
