# d-portfolio-camera-reorg log — TSV: timestamp	old_path	new_path	filename	year	pattern
# run start 2026-04-29T06:29:06.590Z dryRun=false
2026-04-29T06:29:06.630Z	D:\Portfolio\poze\1563836308445.jpg	D:\Portfolio\poze\2019\1563836308445.jpg	1563836308445.jpg	2019	epoch-ms
2026-04-29T06:29:06.630Z	D:\Portfolio\poze\1563836334581.jpg	D:\Portfolio\poze\2019\1563836334581.jpg	1563836334581.jpg	2019	epoch-ms
2026-04-29T06:29:06.631Z	D:\Portfolio\poze\1563868766300.jpg	D:\Portfolio\poze\2019\1563868766300.jpg	1563868766300.jpg	2019	epoch-ms
2026-04-29T06:29:06.632Z	D:\Portfolio\poze\1598010967887.jpg	D:\Portfolio\poze\2020\1598010967887.jpg	1598010967887.jpg	2020	epoch-ms
2026-04-29T06:29:06.632Z	D:\Portfolio\poze\1680889611616.jfif	D:\Portfolio\poze\2023\1680889611616.jfif	1680889611616.jfif	2023	epoch-ms
2026-04-29T06:29:06.633Z	D:\Portfolio\poze\1749442010243.jpg	D:\Portfolio\poze\2025\1749442010243.jpg	1749442010243.jpg	2025	epoch-ms
2026-04-29T06:29:06.633Z	D:\Portfolio\poze\1749442053132.jpg	D:\Portfolio\poze\2025\1749442053132.jpg	1749442053132.jpg	2025	epoch-ms
2026-04-29T06:29:06.634Z	D:\Portfolio\poze\1749442103211.jpg	D:\Portfolio\poze\2025\1749442103211.jpg	1749442103211.jpg	2025	epoch-ms
2026-04-29T06:29:06.634Z	D:\Portfolio\poze\1749442124878.jpg	D:\Portfolio\poze\2025\1749442124878.jpg	1749442124878.jpg	2025	epoch-ms
2026-04-29T06:29:06.636Z	D:\Portfolio\poze\IMG20221003112102.png	D:\Portfolio\poze\2022\IMG20221003112102.png	IMG20221003112102.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.636Z	D:\Portfolio\poze\IMG20221003112121.png	D:\Portfolio\poze\2022\IMG20221003112121.png	IMG20221003112121.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.637Z	D:\Portfolio\poze\IMG20221003112144.png	D:\Portfolio\poze\2022\IMG20221003112144.png	IMG20221003112144.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.637Z	D:\Portfolio\poze\IMG20221003112150.png	D:\Portfolio\poze\2022\IMG20221003112150.png	IMG20221003112150.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.638Z	D:\Portfolio\poze\IMG20221003112944.png	D:\Portfolio\poze\2022\IMG20221003112944.png	IMG20221003112944.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.638Z	D:\Portfolio\poze\IMG20221003113049.png	D:\Portfolio\poze\2022\IMG20221003113049.png	IMG20221003113049.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.639Z	D:\Portfolio\poze\IMG20221003113215.png	D:\Portfolio\poze\2022\IMG20221003113215.png	IMG20221003113215.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.639Z	D:\Portfolio\poze\IMG20221003113221.png	D:\Portfolio\poze\2022\IMG20221003113221.png	IMG20221003113221.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.639Z	D:\Portfolio\poze\IMG20221003113234.png	D:\Portfolio\poze\2022\IMG20221003113234.png	IMG20221003113234.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.640Z	D:\Portfolio\poze\IMG20221003113753.png	D:\Portfolio\poze\2022\IMG20221003113753.png	IMG20221003113753.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.640Z	D:\Portfolio\poze\IMG20221003113807.png	D:\Portfolio\poze\2022\IMG20221003113807.png	IMG20221003113807.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.640Z	D:\Portfolio\poze\IMG20221003113826.png	D:\Portfolio\poze\2022\IMG20221003113826.png	IMG20221003113826.png	2022	huawei-imgYMDhms
2026-04-29T06:29:06.641Z	D:\Portfolio\poze\IMG20230822134707.jpg	D:\Portfolio\poze\2023\IMG20230822134707.jpg	IMG20230822134707.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.641Z	D:\Portfolio\poze\IMG20230822134709.jpg	D:\Portfolio\poze\2023\IMG20230822134709.jpg	IMG20230822134709.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.642Z	D:\Portfolio\poze\IMG20230822134712.jpg	D:\Portfolio\poze\2023\IMG20230822134712.jpg	IMG20230822134712.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.642Z	D:\Portfolio\poze\IMG20230822134714.jpg	D:\Portfolio\poze\2023\IMG20230822134714.jpg	IMG20230822134714.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.642Z	D:\Portfolio\poze\IMG20230822173938.jpg	D:\Portfolio\poze\2023\IMG20230822173938.jpg	IMG20230822173938.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.643Z	D:\Portfolio\poze\IMG20230823002348.jpg	D:\Portfolio\poze\2023\IMG20230823002348.jpg	IMG20230823002348.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.643Z	D:\Portfolio\poze\IMG20230823134459.jpg	D:\Portfolio\poze\2023\IMG20230823134459.jpg	IMG20230823134459.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.644Z	D:\Portfolio\poze\IMG20230823192939.jpg	D:\Portfolio\poze\2023\IMG20230823192939.jpg	IMG20230823192939.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.644Z	D:\Portfolio\poze\IMG20230823192943.jpg	D:\Portfolio\poze\2023\IMG20230823192943.jpg	IMG20230823192943.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.644Z	D:\Portfolio\poze\IMG20230823193000.jpg	D:\Portfolio\poze\2023\IMG20230823193000.jpg	IMG20230823193000.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.645Z	D:\Portfolio\poze\IMG20230823193001.jpg	D:\Portfolio\poze\2023\IMG20230823193001.jpg	IMG20230823193001.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.645Z	D:\Portfolio\poze\IMG20230824135048.jpg	D:\Portfolio\poze\2023\IMG20230824135048.jpg	IMG20230824135048.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.645Z	D:\Portfolio\poze\IMG20230824135049.jpg	D:\Portfolio\poze\2023\IMG20230824135049.jpg	IMG20230824135049.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.646Z	D:\Portfolio\poze\IMG20230824135050.jpg	D:\Portfolio\poze\2023\IMG20230824135050.jpg	IMG20230824135050.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.646Z	D:\Portfolio\poze\IMG20230824135127.jpg	D:\Portfolio\poze\2023\IMG20230824135127.jpg	IMG20230824135127.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.646Z	D:\Portfolio\poze\IMG20230824135128.jpg	D:\Portfolio\poze\2023\IMG20230824135128.jpg	IMG20230824135128.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.647Z	D:\Portfolio\poze\IMG20230824135352.jpg	D:\Portfolio\poze\2023\IMG20230824135352.jpg	IMG20230824135352.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.647Z	D:\Portfolio\poze\IMG20230824135403.jpg	D:\Portfolio\poze\2023\IMG20230824135403.jpg	IMG20230824135403.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.647Z	D:\Portfolio\poze\IMG20230824135526.jpg	D:\Portfolio\poze\2023\IMG20230824135526.jpg	IMG20230824135526.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.648Z	D:\Portfolio\poze\IMG20230824135659.jpg	D:\Portfolio\poze\2023\IMG20230824135659.jpg	IMG20230824135659.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.648Z	D:\Portfolio\poze\IMG20230824135700.jpg	D:\Portfolio\poze\2023\IMG20230824135700.jpg	IMG20230824135700.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.649Z	D:\Portfolio\poze\IMG20230824142223.jpg	D:\Portfolio\poze\2023\IMG20230824142223.jpg	IMG20230824142223.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.649Z	D:\Portfolio\poze\IMG20230824142224.jpg	D:\Portfolio\poze\2023\IMG20230824142224.jpg	IMG20230824142224.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.649Z	D:\Portfolio\poze\IMG20230824142238.jpg	D:\Portfolio\poze\2023\IMG20230824142238.jpg	IMG20230824142238.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.650Z	D:\Portfolio\poze\IMG20230824142240.jpg	D:\Portfolio\poze\2023\IMG20230824142240.jpg	IMG20230824142240.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.650Z	D:\Portfolio\poze\IMG20230824142358.jpg	D:\Portfolio\poze\2023\IMG20230824142358.jpg	IMG20230824142358.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.650Z	D:\Portfolio\poze\IMG20230824142406.jpg	D:\Portfolio\poze\2023\IMG20230824142406.jpg	IMG20230824142406.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.651Z	D:\Portfolio\poze\IMG20230824143225.jpg	D:\Portfolio\poze\2023\IMG20230824143225.jpg	IMG20230824143225.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.651Z	D:\Portfolio\poze\IMG20230824143235.jpg	D:\Portfolio\poze\2023\IMG20230824143235.jpg	IMG20230824143235.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.652Z	D:\Portfolio\poze\IMG20230824143334.jpg	D:\Portfolio\poze\2023\IMG20230824143334.jpg	IMG20230824143334.jpg	2023	huawei-imgYMDhms
2026-04-29T06:29:06.652Z	D:\Portfolio\poze\IMG20230824143453.jpg	D:\Portfolio\poze\2023\IMG20230824143453.jpg	IMG20230824143453.jpg	2023	huawei-imgYMDhms
