# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.156Z	MOVE	1847	G:\Poze\ic_launcher_113.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_113.png	-
2026-04-29T08:49:08.157Z	MOVE	1847	G:\Poze\ic_launcher_118.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_118.png	-
2026-04-29T08:49:08.158Z	MOVE	1847	G:\Poze\ic_launcher_123.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_123.png	-
2026-04-29T08:49:08.159Z	MOVE	1847	G:\Poze\ic_launcher_128.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_128.png	-
2026-04-29T08:49:08.160Z	MOVE	1847	G:\Poze\ic_launcher_133.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_133.png	-
2026-04-29T08:49:08.161Z	MOVE	1847	G:\Poze\ic_launcher_138.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_138.png	-
2026-04-29T08:49:08.162Z	MOVE	1847	G:\Poze\ic_launcher_153.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_153.png	-
2026-04-29T08:49:08.163Z	MOVE	1847	G:\Poze\ic_launcher_158.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_158.png	-
2026-04-29T08:49:08.164Z	MOVE	1847	G:\Poze\ic_launcher_163.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_163.png	-
2026-04-29T08:49:08.165Z	MOVE	1848	G:\Poze\ic_launcher_3.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_3.png	-
2026-04-29T08:49:08.166Z	MOVE	1848	G:\Poze\ic_launcher_8.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_8.png	-
2026-04-29T08:49:08.167Z	MOVE	1848	G:\Poze\ic_launcher_13.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_13.png	-
2026-04-29T08:49:08.168Z	MOVE	1848	G:\Poze\ic_launcher_23.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_23.png	-
2026-04-29T08:49:08.169Z	MOVE	1848	G:\Poze\ic_launcher_33.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_33.png	-
2026-04-29T08:49:08.170Z	MOVE	1848	G:\Poze\ic_launcher_38.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_38.png	-
2026-04-29T08:49:08.171Z	MOVE	1848	G:\Poze\ic_launcher_43.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_43.png	-
2026-04-29T08:49:08.172Z	MOVE	1848	G:\Poze\ic_launcher_54.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_54.png	-
2026-04-29T08:49:08.172Z	MOVE	1848	G:\Poze\ic_launcher_59.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_59.png	-
2026-04-29T08:49:08.173Z	MOVE	1848	G:\Poze\ic_launcher_64.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_64.png	-
2026-04-29T08:49:08.174Z	MOVE	1848	G:\Poze\ic_launcher_69.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_69.png	-
2026-04-29T08:49:08.175Z	MOVE	1848	G:\Poze\ic_launcher_74.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_74.png	-
2026-04-29T08:49:08.176Z	MOVE	1848	G:\Poze\ic_launcher_89.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_89.png	-
2026-04-29T08:49:08.177Z	MOVE	1848	G:\Poze\ic_launcher_94.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_94.png	-
2026-04-29T08:49:08.178Z	MOVE	1848	G:\Poze\ic_launcher_99.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_99.png	-
2026-04-29T08:49:08.179Z	MOVE	1848	G:\Poze\ic_launcher_104.png	G:\duplicates-to_be_deleted\Poze\ic_launcher_104.png	-
