# g-whatsapp-reorg log — TSV: timestamp	old_path	new_path	filename	year
# run start 2026-04-28T23:39:50.712Z
2026-04-28T23:39:51.114Z	G:\Poze\IMG-20230608-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230608-WA0002.jpg	IMG-20230608-WA0002.jpg	2023
2026-04-28T23:39:51.123Z	G:\Poze\IMG-20230608-WA0003.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230608-WA0003.jpg	IMG-20230608-WA0003.jpg	2023
2026-04-28T23:39:51.140Z	G:\Poze\IMG-20230702-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230702-WA0002.jpg	IMG-20230702-WA0002.jpg	2023
2026-04-28T23:39:51.153Z	G:\Poze\IMG-20230714-WA0085.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0085.jpg	IMG-20230714-WA0085.jpg	2023
2026-04-28T23:39:51.161Z	G:\Poze\IMG-20230714-WA0086.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0086.jpg	IMG-20230714-WA0086.jpg	2023
2026-04-28T23:39:51.171Z	G:\Poze\IMG-20230714-WA0087.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0087.jpg	IMG-20230714-WA0087.jpg	2023
2026-04-28T23:39:51.179Z	G:\Poze\IMG-20230714-WA0088.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0088.jpg	IMG-20230714-WA0088.jpg	2023
2026-04-28T23:39:51.192Z	G:\Poze\IMG-20231120-WA0005.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20231120-WA0005.jpg	IMG-20231120-WA0005.jpg	2023
2026-04-28T23:39:51.199Z	G:\Poze\IMG-20231120-WA0012.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20231120-WA0012.jpg	IMG-20231120-WA0012.jpg	2023
2026-04-28T23:39:51.207Z	G:\Poze\IMG-20231120-WA0013.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20231120-WA0013.jpg	IMG-20231120-WA0013.jpg	2023
2026-04-28T23:39:51.219Z	G:\Poze\IMG-20231219-WA0008.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20231219-WA0008.jpg	IMG-20231219-WA0008.jpg	2023
2026-04-28T23:39:51.243Z	G:\Poze\IMG-20240307-WA0005.jpg	G:\Poze\WhatsApp-by-year\2024\IMG-20240307-WA0005.jpg	IMG-20240307-WA0005.jpg	2024
2026-04-28T23:39:51.250Z	G:\Poze\IMG-20240902-WA0002.jpg	G:\Poze\WhatsApp-by-year\2024\IMG-20240902-WA0002.jpg	IMG-20240902-WA0002.jpg	2024
2026-04-28T23:39:51.258Z	G:\Poze\IMG-20241227-WA0008.jpg	G:\Poze\WhatsApp-by-year\2024\IMG-20241227-WA0008.jpg	IMG-20241227-WA0008.jpg	2024
2026-04-28T23:39:51.269Z	G:\Poze\IMG-20241227-WA0011.jpg	G:\Poze\WhatsApp-by-year\2024\IMG-20241227-WA0011.jpg	IMG-20241227-WA0011.jpg	2024
