# g-camera-reorg log — TSV: timestamp	old_path	new_path	filename	year	source	collision_suffix
# run start 2026-04-29T06:31:07.700Z
2026-04-29T06:31:08.302Z	G:\Poze\IMG_20190411_213742.png	G:\Poze\2019\IMG_20190411_213742.png	IMG_20190411_213742.png	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.310Z	G:\Poze\IMG_20190821_155308.png	G:\Poze\2019\IMG_20190821_155308.png	IMG_20190821_155308.png	2019	filename:img_date_underscore	0
2026-04-29T06:31:08.392Z	G:\Poze\IMG_20210801_153010.jpg	G:\Poze\2021\IMG_20210801_153010.jpg	IMG_20210801_153010.jpg	2021	filename:img_date_underscore	0
2026-04-29T06:31:08.405Z	G:\Poze\IMG_20231022_143902.jpg	G:\Poze\2023\IMG_20231022_143902.jpg	IMG_20231022_143902.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:08.412Z	G:\Poze\IMG_20231112_124705.jpg	G:\Poze\2023\IMG_20231112_124705.jpg	IMG_20231112_124705.jpg	2023	filename:img_date_underscore	0
2026-04-29T06:31:08.419Z	G:\Poze\IMG_20240114_161757.jpg	G:\Poze\2024\IMG_20240114_161757.jpg	IMG_20240114_161757.jpg	2024	filename:img_date_underscore	0
2026-04-29T06:31:08.425Z	G:\Poze\IMG_20240220_090443.jpg	G:\Poze\2024\IMG_20240220_090443.jpg	IMG_20240220_090443.jpg	2024	filename:img_date_underscore	0
2026-04-29T06:31:08.432Z	G:\Poze\IMG_20240302_152652.jpg	G:\Poze\2024\IMG_20240302_152652.jpg	IMG_20240302_152652.jpg	2024	filename:img_date_underscore	0
2026-04-29T06:31:08.440Z	G:\Poze\IMG_20240307_185707.jpg	G:\Poze\2024\IMG_20240307_185707.jpg	IMG_20240307_185707.jpg	2024	filename:img_date_underscore	0
2026-04-29T06:31:08.447Z	G:\Poze\IMG_20250216_021623.jpg	G:\Poze\2025\IMG_20250216_021623.jpg	IMG_20250216_021623.jpg	2025	filename:img_date_underscore	0
